1,5,10:30 AM,21 Kilos,,,,,,
2,9,EOD,44 Kilos,,,,,,
3,8,EOD,2 Kilos,1,,,,,
4,18,EOD,4 Kilos,,,,,,
5,19,EOD,5 Kilos,,,,,,
6,13,10:30 AM,88 Kilos,,09:05 AM,,,,
7,2,EOD,8 Kilos,,,,,,
8,12,EOD,9 Kilos,,,,,,
9,12,EOD,2 Kilos,,,19,10:20 AM,,
10,25,EOD,1 Kilos,,,,,,
11,10,EOD,1 Kilos,,,,,,
12,16,EOD,1 Kilos,,,,,,
13,6,10:30 AM,2 Kilos,,,,,,
14,20,10:30 AM,88 Kilos,,,,,15;19,
15,21,9:00 AM,4 Kilos,,,,,,
16,21,10:30 AM,88 Kilos,,,,,13;19,
17,14,EOD,2 Kilos,,,,,,
18,3,EOD,6 Kilos,1,,,,,
19,4,EOD,37 Kilos,,,,,,
20,17,10:30 AM,37 Kilos,,,,,13;15,
21,17,EOD,3 Kilos,,,,,,
22,26,EOD,2 Kilos,,,,,,
23,23,EOD,5 Kilos,,,,,,
24,22,EOD,7 Kilos,,,,,,
25,24,10:30 AM,7 Kilos,,09:05 AM,,,,
26,24,EOD,25 Kilos,,,,,,
27,1,EOD,5 Kilos,,,,,,
28,11,EOD,7 Kilos,,09:05 AM,,,,
29,2,10:30 AM,2 Kilos,,,,,,
30,12,10:30 AM,1 Kilos,,,,,,
31,15,10:30 AM,1 Kilos,,,,,,
32,15,EOD,1 Kilos,,09:05 AM,,,,
33,9,EOD,1 Kilos,,,,,,
34,21,10:30 AM,2 Kilos,,,,,,
35,1,EOD,88 Kilos,,,,,,
36,7,EOD,88 Kilos,1,,,,,
37,19,10:30 AM,2 Kilos,,,,,,
38,19,EOD,9 Kilos,1,,,,,
39,6,EOD,9 Kilos,,,,,,
40,18,10:30 AM,45 Kilos,,,,,,
